Name,Gender,Age,Height(cm),Weight(kg),Lifestyle,Exercise,Daily Calories Intake,Target,"How motivated are you for being healthy
(in %)",Body Mass Index (BMI),Basal Metabolic Rate (BMR),Type,Body Fat Percentage (BFP),Body Type,"Daily Calorie Need (Based on BMR and Exercise)
(in Calorie)","Total Daily Energy Expenditure (TDEE) (Based on BMR and Lifestyle)
(in Calorie)",Suggestion
A21,Male,18,158,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3433,Gain Muscle,64,29.64,1752.88,Boy,29.9605,Overweight,2103,2682,ZONE DIET (40:30:30)
A22,Male,18,158,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2158,Loose Weight,77,31.24,1807.88,Boy,32.3799,Obese,2486,2766,LOW CARB DIET (25:35:40)
A23,Male,18,158,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2628,Maintain Weight,70,32.85,1862.88,Boy,34.7994,Obese,2887,2850,BALANCE DIET (55:25:20)
A24,Male,18,158,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2680,Gain Muscle,73,34.45,1917.88,Boy,37.2189,Obese,3308,2934,HIGH CARB DIET(60:20:20)
A25,Male,18,158,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3079,Loose Weight,93,36.05,1972.88,Boy,39.6384,Obese,2367,3019,KETOGENIC DIET (5:35:60)
A26,Male,18,158,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2513,Maintain Weight,94,37.65,2027.88,Boy,42.0579,Obese,2788,3103,BALANCE DIET (55:25:20)
A27,Male,18,158,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),4068,Gain Muscle,85,39.26,2082.88,Boy,44.4774,Obese,3228,3187,ZONE DIET (40:30:30)
A28,Male,18,158,102,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3762,Loose Weight,91,40.86,2137.88,Boy,46.8968,Obese,3688,3271,KETOGENIC DIET (5:35:60)
A29,Male,18,164,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2245,Maintain Weight,76,18.59,1452.90,Boy,13.2711,Normal,1743,2223,BALANCE DIET (55:25:20)
A30,Male,18,164,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1846,Gain Muscle,84,20.08,1507.90,Boy,15.5168,Normal,2073,2307,HIGH CARB DIET(60:20:20)
A31,Male,18,164,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2083,Loose Weight,87,21.56,1562.90,Boy,17.7625,Normal,2422,2391,LOW CARB DIET (25:35:40)
A32,Male,18,164,62,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2651,Maintain Weight,94,23.05,1617.90,Boy,20.0081,Normal,2791,2475,BALANCE DIET (55:25:20)
A33,Male,18,164,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3405,Gain Muscle,68,24.54,1672.90,Boy,22.2538,Normal,2886,2560,ZONE DIET (40:30:30)
A34,Male,18,164,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2274,Loose Weight,89,26.03,1727.90,Boy,24.4995,Overweight,2073,2644,KETOGENIC DIET (5:35:60)
A35,Male,18,164,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3546,Maintain Weight,82,27.51,1782.90,Boy,26.7452,Overweight,2451,2728,ZONE DIET (40:30:30)
A36,Male,18,164,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2023,Gain Muscle,90,29.00,1837.90,Boy,28.9909,Overweight,2849,2812,HIGH CARB DIET(60:20:20)
A37,Male,18,164,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3592,Loose Weight,74,30.49,1892.90,Boy,31.2366,Obese,3265,2896,LOW CARB DIET (25:35:40)
A38,Male,18,164,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3278,Maintain Weight,74,31.98,1947.90,Boy,33.4823,Obese,2337,2980,BALANCE DIET (55:25:20)
A39,Male,18,164,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2697,Gain Muscle,94,33.46,2002.90,Boy,35.7280,Obese,2754,3064,HIGH CARB DIET(60:20:20)
A40,Male,18,164,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2743,Loose Weight,71,34.95,2057.90,Boy,37.9736,Obese,3190,3149,LOW CARB DIET (25:35:40)
A41,Male,18,164,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2916,Maintain Weight,68,36.44,2112.90,Boy,40.2193,Obese,3645,3233,BALANCE DIET (55:25:20)
A42,Male,18,164,102,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3018,Gain Muscle,77,37.92,2167.90,Boy,42.4650,Obese,2601,3317,ZONE DIET (40:30:30)
A43,Male,18,170,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2950,Loose Weight,90,17.30,1482.92,Boy,11.3246,Underweight,2039,2269,BALANCE DIET (55:25:20)
A44,Male,18,170,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2813,Maintain Weight,94,18.69,1537.92,Boy,13.4145,Normal,2384,2353,BALANCE DIET (55:25:20)
A45,Male,18,170,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3078,Gain Muscle,88,20.07,1592.92,Boy,15.5045,Normal,2748,2437,HIGH CARB DIET(60:20:20)
A46,Male,18,170,62,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3026,Loose Weight,88,21.45,1647.92,Boy,17.5945,Normal,1978,2521,LOW CARB DIET (25:35:40)
A47,Male,18,170,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2736,Maintain Weight,64,22.84,1702.92,Boy,19.6844,Normal,2342,2605,BALANCE DIET (55:25:20)
A48,Male,18,170,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2997,Gain Muscle,92,24.22,1757.92,Boy,21.7744,Normal,2725,2690,HIGH CARB DIET(60:20:20)
A49,Male,18,170,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2345,Loose Weight,84,25.61,1812.92,Boy,23.8644,Overweight,3127,2774,KETOGENIC DIET (5:35:60)
A50,Male,18,170,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2143,Maintain Weight,87,26.99,1867.92,Boy,25.9543,Overweight,2242,2858,ZONE DIET (40:30:30)
A51,Male,18,170,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2589,Gain Muscle,73,28.37,1922.92,Boy,28.0443,Overweight,2644,2942,HIGH CARB DIET(60:20:20)
A52,Male,18,170,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2606,Loose Weight,74,29.76,1977.92,Boy,30.1343,Overweight,3066,3026,LOW CARB DIET (25:35:40)
A53,Male,18,170,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3612,Maintain Weight,69,31.14,2032.92,Boy,32.2242,Obese,3507,3110,BALANCE DIET (55:25:20)
A54,Male,18,170,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2300,Gain Muscle,83,32.53,2087.92,Boy,34.3142,Obese,2506,3195,HIGH CARB DIET(60:20:20)
A55,Male,18,170,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2852,Loose Weight,88,33.91,2142.92,Boy,36.4042,Obese,2947,3279,KETOGENIC DIET (5:35:60)
A56,Male,18,170,102,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),4190,Maintain Weight,91,35.29,2197.92,Boy,38.4941,Obese,3407,3363,DEPLETION DIET (DYNAMIC)
A57,Male,18,176,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2218,Gain Muscle,64,16.14,1512.94,Boy,9.5737,Underweight,2610,2315,ZONE DIET (40:30:30)
A58,Male,18,176,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2375,Loose Weight,64,17.43,1567.94,Boy,11.5236,Underweight,1882,2399,BALANCE DIET (55:25:20)
A59,Male,18,176,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2582,Maintain Weight,75,18.72,1622.94,Boy,13.4735,Normal,2232,2483,BALANCE DIET (55:25:20)
A60,Male,18,176,62,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2263,Gain Muscle,65,20.02,1677.94,Boy,15.4234,Normal,2601,2567,ZONE DIET (40:30:30)
A61,Male,18,176,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2122,Loose Weight,65,21.31,1732.94,Boy,17.3733,Normal,2989,2651,LOW CARB DIET (25:35:40)
A62,Male,18,176,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2872,Maintain Weight,61,22.60,1787.94,Boy,19.3232,Normal,2146,2736,BALANCE DIET (55:25:20)
A63,Male,18,176,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2199,Gain Muscle,66,23.89,1842.94,Boy,21.2731,Normal,2534,2820,ZONE DIET (40:30:30)
A64,Male,18,176,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2501,Loose Weight,78,25.18,1897.94,Boy,23.2230,Overweight,2942,2904,LOW CARB DIET (25:35:40)
A65,Male,18,176,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2392,Maintain Weight,69,26.47,1952.94,Boy,25.1729,Overweight,3369,2988,BALANCE DIET (55:25:20)
A66,Male,18,176,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2550,Gain Muscle,75,27.76,2007.94,Boy,27.1228,Overweight,2410,3072,HIGH CARB DIET(60:20:20)
A67,Male,18,176,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2304,Loose Weight,79,29.05,2062.94,Boy,29.0727,Overweight,2837,3156,LOW CARB DIET (25:35:40)
A68,Male,18,176,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3086,Maintain Weight,83,30.35,2117.94,Boy,31.0226,Obese,3283,3240,BALANCE DIET (55:25:20)
A69,Male,18,176,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),4835,Gain Muscle,67,31.64,2172.94,Boy,32.9725,Obese,3748,3325,ZONE DIET (40:30:30)
A70,Male,18,176,102,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),4090,Loose Weight,76,32.93,2227.94,Boy,34.9224,Obese,2674,3409,LOW CARB DIET (25:35:40)
A71,Male,18,182,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1653,Maintain Weight,68,15.09,1542.96,Boy,7.9931,Underweight,2122,2361,BALANCE DIET (55:25:20)
A72,Male,18,182,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2700,Gain Muscle,64,16.30,1597.96,Boy,9.8166,Underweight,2477,2445,ZONE DIET (40:30:30)
A73,Male,18,182,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2880,Loose Weight,83,17.51,1652.96,Boy,11.6400,Underweight,2851,2529,BALANCE DIET (55:25:20)
A74,Male,18,182,62,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2927,Maintain Weight,83,18.72,1707.96,Boy,13.4635,Normal,2050,2613,BALANCE DIET (55:25:20)
A75,Male,18,182,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3480,Gain Muscle,62,19.93,1762.96,Boy,15.2869,Normal,2424,2697,ZONE DIET (40:30:30)
A76,Male,18,182,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2282,Loose Weight,63,21.13,1817.96,Boy,17.1104,Normal,2818,2781,LOW CARB DIET (25:35:40)
A77,Male,18,182,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2843,Maintain Weight,83,22.34,1872.96,Boy,18.9338,Normal,3231,2866,BALANCE DIET (55:25:20)
A78,Male,18,182,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2361,Gain Muscle,72,23.55,1927.96,Boy,20.7573,Normal,3326,2950,ZONE DIET (40:30:30)
A79,Male,18,182,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3277,Loose Weight,60,24.76,1982.96,Boy,22.5808,Normal,2380,3034,LOW CARB DIET (25:35:40)
A80,Male,18,182,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2682,Maintain Weight,71,25.96,2037.96,Boy,24.4042,Overweight,2802,3118,BALANCE DIET (55:25:20)
A81,Male,18,182,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3763,Gain Muscle,74,27.17,2092.96,Boy,26.2277,Overweight,3244,3202,ZONE DIET (40:30:30)
A82,Male,18,182,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),4298,Loose Weight,83,28.38,2147.96,Boy,28.0511,Overweight,3705,3286,KETOGENIC DIET (5:35:60)
A83,Male,18,182,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),4078,Maintain Weight,83,29.59,2202.96,Boy,29.8746,Overweight,2644,3371,ZONE DIET (40:30:30)
A84,Male,18,182,102,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3593,Gain Muscle,87,30.79,2257.96,Boy,31.6980,Obese,3105,3455,ZONE DIET (40:30:30)
A85,Male,22,152,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2392,Loose Weight,88,21.64,1365.85,Adult Male,14.8295,Normal,2117,2090,LOW CARB DIET (25:35:40)
A86,Male,22,152,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2500,Maintain Weight,71,23.37,1420.85,Adult Male,16.9071,Normal,2451,2174,BALANCE DIET (55:25:20)
A87,Male,22,152,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2506,Gain Muscle,88,25.10,1475.85,Adult Male,18.9847,Overweight,1771,2258,ZONE DIET (40:30:30)
A88,Male,22,152,62,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2951,Loose Weight,92,26.84,1530.85,Adult Male,21.0622,Overweight,2105,2342,KETOGENIC DIET (5:35:60)
A89,Male,22,152,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1991,Maintain Weight,72,28.57,1585.85,Adult Male,23.1398,Overweight,2458,2426,BALANCE DIET (55:25:20)
A90,Male,22,152,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2830,Gain Muscle,82,30.30,1640.85,Adult Male,25.2173,Obese,2830,2510,ZONE DIET (40:30:30)
A91,Male,22,152,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2102,Loose Weight,69,32.03,1695.85,Adult Male,27.2949,Obese,2035,2595,LOW CARB DIET (25:35:40)
A92,Male,22,152,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3429,Maintain Weight,90,33.76,1750.85,Adult Male,29.3725,Obese,2407,2679,DEPLETION DIET (DYNAMIC)
A93,Male,22,152,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2351,Gain Muscle,77,35.49,1805.85,Adult Male,31.4500,Obese,2799,2763,HIGH CARB DIET(60:20:20)
A94,Male,22,152,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3114,Loose Weight,74,37.22,1860.85,Adult Male,33.5276,Obese,3210,2847,LOW CARB DIET (25:35:40)
A95,Male,22,152,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2755,Maintain Weight,92,38.95,1915.85,Adult Male,35.6052,Obese,2299,2931,BALANCE DIET (55:25:20)
A96,Male,22,152,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3317,Gain Muscle,87,40.69,1970.85,Adult Male,37.6827,Obese,2710,3015,ZONE DIET (40:30:30)
A97,Male,22,152,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3674,Loose Weight,93,42.42,2025.85,Adult Male,39.7603,Obese,3140,3100,DEPLETION DIET (DYNAMIC)
A98,Male,22,152,102,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),4092,Maintain Weight,95,44.15,2080.85,Adult Male,41.8378,Obese,3589,3184,DEPLETION DIET (DYNAMIC)
A99,Male,22,158,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2734,Gain Muscle,75,20.03,1395.86,Adult Male,12.8946,Normal,1675,2136,ZONE DIET (40:30:30)
A100,Male,22,158,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2819,Loose Weight,89,21.63,1450.86,Adult Male,14.8174,Normal,1995,2220,LOW CARB DIET (25:35:40)
A101,Male,22,158,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1704,Maintain Weight,71,23.23,1505.86,Adult Male,16.7401,Normal,2334,2304,BALANCE DIET (55:25:20)
A102,Male,22,158,62,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3016,Gain Muscle,71,24.84,1560.86,Adult Male,18.6629,Normal,2692,2388,ZONE DIET (40:30:30)
A103,Male,22,158,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2151,Loose Weight,62,26.44,1615.86,Adult Male,20.5857,Overweight,1939,2472,LOW CARB DIET (25:35:40)
A104,Male,22,158,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2940,Maintain Weight,60,28.04,1670.86,Adult Male,22.5085,Overweight,2297,2556,BALANCE DIET (55:25:20)
A105,Male,22,158,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2408,Gain Muscle,89,29.64,1725.86,Adult Male,24.4312,Overweight,2675,2641,ZONE DIET (40:30:30)
A106,Male,22,158,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3994,Loose Weight,90,31.24,1780.86,Adult Male,26.3540,Obese,3072,2725,DEPLETION DIET (DYNAMIC)
A107,Male,22,158,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3118,Maintain Weight,85,32.85,1835.86,Adult Male,28.2768,Obese,2203,2809,DEPLETION DIET (DYNAMIC)
A108,Male,22,158,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3616,Gain Muscle,70,34.45,1890.86,Adult Male,30.1995,Obese,2600,2893,ZONE DIET (40:30:30)
A109,Male,22,158,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2322,Loose Weight,85,36.05,1945.86,Adult Male,32.1223,Obese,3016,2977,KETOGENIC DIET (5:35:60)
A110,Male,22,158,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),4211,Maintain Weight,62,37.65,2000.86,Adult Male,34.0451,Obese,3451,3061,LOW CARB DIET (25:35:40)
A111,Male,22,158,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3712,Gain Muscle,86,39.26,2055.86,Adult Male,35.9678,Obese,2467,3145,ZONE DIET (40:30:30)
