Gender,Age,Height(cm),Weight(kg),Lifestyle,Exercise,Daily Calories Intake,Target,"How motivated are you for being healthy
(in %)",Body Mass Index (BMI),Basal Metabolic Rate (BMR),Type,Body Fat Percentage (BFP),Body Type,"Daily Calorie Need (Based on BMR and Exercise)
(in Calorie)","Total Daily Energy Expenditure (TDEE) (Based on BMR and Lifestyle)
(in Calorie)",Suggestion
0,18,170,58,0,3,3078,2,88,20.07,1592.92,0,15.5045,1,2748,2437,4
0,18,170,62,0,0,3026,0,88,21.45,1647.92,0,17.5945,1,1978,2521,0
0,18,170,66,0,1,2736,1,64,22.84,1702.92,0,19.6844,1,2342,2605,1
0,18,170,70,0,2,2997,2,92,24.22,1757.92,0,21.7744,1,2725,2690,4
0,18,170,74,0,3,2345,0,84,25.61,1812.92,0,23.8644,2,3127,2774,3
0,18,170,78,0,0,2143,1,87,26.99,1867.92,0,25.9543,2,2242,2858,2
0,18,170,82,0,1,2589,2,73,28.37,1922.92,0,28.0443,2,2644,2942,4
0,18,170,86,0,2,2606,0,74,29.76,1977.92,0,30.1343,2,3066,3026,0
0,18,170,90,0,3,3612,1,69,31.14,2032.92,0,32.2242,3,3507,3110,1
0,18,170,94,0,0,2300,2,83,32.53,2087.92,0,34.3142,3,2506,3195,4
0,18,170,98,0,1,2852,0,88,33.91,2142.92,0,36.4042,3,2947,3279,3
0,18,170,102,0,2,4190,1,91,35.29,2197.92,0,38.4941,3,3407,3363,5
0,18,176,50,0,3,2218,2,64,16.14,1512.94,0,9.5737,0,2610,2315,2
0,18,176,54,0,0,2375,0,64,17.43,1567.94,0,11.5236,0,1882,2399,1
0,18,176,58,0,1,2582,1,75,18.72,1622.94,0,13.4735,1,2232,2483,1
0,18,176,62,0,2,2263,2,65,20.02,1677.94,0,15.4234,1,2601,2567,2
0,18,176,66,0,3,2122,0,65,21.31,1732.94,0,17.3733,1,2989,2651,0
0,18,176,70,0,0,2872,1,61,22.6,1787.94,0,19.3232,1,2146,2736,1
0,18,176,74,0,1,2199,2,66,23.89,1842.94,0,21.2731,1,2534,2820,2
0,18,176,78,0,2,2501,0,78,25.18,1897.94,0,23.223,2,2942,2904,0
0,18,176,82,0,3,2392,1,69,26.47,1952.94,0,25.1729,2,3369,2988,1
0,18,176,86,0,0,2550,2,75,27.76,2007.94,0,27.1228,2,2410,3072,4
0,18,176,90,0,1,2304,0,79,29.05,2062.94,0,29.0727,2,2837,3156,0
0,18,176,94,0,2,3086,1,83,30.35,2117.94,0,31.0226,3,3283,3240,1
0,18,176,98,0,3,4835,2,67,31.64,2172.94,0,32.9725,3,3748,3325,2
0,18,176,102,0,0,4090,0,76,32.93,2227.94,0,34.9224,3,2674,3409,0
0,18,182,50,0,1,1653,1,68,15.09,1542.96,0,7.9931,0,2122,2361,1
0,18,182,54,0,2,2700,2,64,16.3,1597.96,0,9.8166,0,2477,2445,2
0,18,182,58,0,3,2880,0,83,17.51,1652.96,0,11.64,0,2851,2529,1
0,18,182,62,0,0,2927,1,83,18.72,1707.96,0,13.4635,1,2050,2613,1
0,18,182,66,0,1,3480,2,62,19.93,1762.96,0,15.2869,1,2424,2697,2
0,18,182,70,0,2,2282,0,63,21.13,1817.96,0,17.1104,1,2818,2781,0
0,18,182,74,0,3,2843,1,83,22.34,1872.96,0,18.9338,1,3231,2866,1
0,18,182,78,0,3,2361,2,72,23.55,1927.96,0,20.7573,1,3326,2950,2
0,18,182,82,0,0,3277,0,60,24.76,1982.96,0,22.5808,1,2380,3034,0
0,18,182,86,0,1,2682,1,71,25.96,2037.96,0,24.4042,2,2802,3118,1
0,18,182,90,0,2,3763,2,74,27.17,2092.96,0,26.2277,2,3244,3202,2
0,18,182,94,0,3,4298,0,83,28.38,2147.96,0,28.0511,2,3705,3286,3
0,18,182,98,0,0,4078,1,83,29.59,2202.96,0,29.8746,2,2644,3371,2
0,18,182,102,0,1,3593,2,87,30.79,2257.96,0,31.698,3,3105,3455,2
0,22,152,50,0,2,2392,0,88,21.64,1365.85,2,14.8295,1,2117,2090,0
0,22,152,54,0,3,2500,1,71,23.37,1420.85,2,16.9071,1,2451,2174,1
0,22,152,58,0,0,2506,2,88,25.1,1475.85,2,18.9847,2,1771,2258,2
0,22,152,62,0,1,2951,0,92,26.84,1530.85,2,21.0622,2,2105,2342,3
0,22,152,66,0,2,1991,1,72,28.57,1585.85,2,23.1398,2,2458,2426,1
0,22,152,70,0,3,2830,2,82,30.3,1640.85,2,25.2173,3,2830,2510,2
0,22,152,74,0,0,2102,0,69,32.03,1695.85,2,27.2949,3,2035,2595,0
0,22,152,78,0,1,3429,1,90,33.76,1750.85,2,29.3725,3,2407,2679,5
0,22,152,82,0,2,2351,2,77,35.49,1805.85,2,31.45,3,2799,2763,4
0,22,152,86,0,3,3114,0,74,37.22,1860.85,2,33.5276,3,3210,2847,0
0,22,152,90,0,0,2755,1,92,38.95,1915.85,2,35.6052,3,2299,2931,1
0,22,152,94,0,1,3317,2,87,40.69,1970.85,2,37.6827,3,2710,3015,2
0,22,152,98,0,2,3674,0,93,42.42,2025.85,2,39.7603,3,3140,3100,5
0,22,152,102,0,3,4092,1,95,44.15,2080.85,2,41.8378,3,3589,3184,5
0,22,158,50,0,0,2734,2,75,20.03,1395.86,2,12.8946,1,1675,2136,2
0,22,158,54,0,1,2819,0,89,21.63,1450.86,2,14.8174,1,1995,2220,0
0,22,158,58,0,2,1704,1,71,23.23,1505.86,2,16.7401,1,2334,2304,1
0,22,158,62,0,3,3016,2,71,24.84,1560.86,2,18.6629,1,2692,2388,2
0,22,158,66,0,0,2151,0,62,26.44,1615.86,2,20.5857,2,1939,2472,0
0,22,158,70,0,1,2940,1,60,28.04,1670.86,2,22.5085,2,2297,2556,1
0,22,158,74,0,2,2408,2,89,29.64,1725.86,2,24.4312,2,2675,2641,2
0,22,158,78,0,3,3994,0,90,31.24,1780.86,2,26.354,3,3072,2725,5
0,22,158,82,0,0,3118,1,85,32.85,1835.86,2,28.2768,3,2203,2809,5
0,22,158,86,0,1,3616,2,70,34.45,1890.86,2,30.1995,3,2600,2893,2
0,22,158,90,0,2,2322,0,85,36.05,1945.86,2,32.1223,3,3016,2977,3
0,22,158,94,0,3,4211,1,62,37.65,2000.86,2,34.0451,3,3451,3061,0
0,22,158,98,0,0,3712,2,86,39.26,2055.86,2,35.9678,3,2467,3145,2
0,22,158,102,0,1,2777,0,65,40.86,2110.86,2,37.8906,3,2902,3230,0
0,22,164,50,0,2,1613,1,63,18.59,1425.88,2,11.1681,1,2210,2182,1
0,22,164,54,0,3,2146,2,76,20.08,1480.88,2,12.9528,1,2555,2266,2
0,22,164,58,0,0,2585,0,81,21.56,1535.88,2,14.7375,1,1843,2350,0
0,22,164,62,0,1,2970,1,80,23.05,1590.88,2,16.5221,1,2187,2434,1
0,22,164,66,0,2,3163,2,67,24.54,1645.88,2,18.3068,1,2551,2518,2
0,22,164,70,0,3,3286,0,63,26.03,1700.88,2,20.0914,2,2934,2602,0
0,22,164,74,0,0,3116,1,60,27.51,1755.88,2,21.8761,2,2107,2686,1
0,22,164,78,0,1,3131,2,66,29.0,1810.88,2,23.6607,2,2490,2771,2
0,22,164,82,0,2,2834,0,81,30.49,1865.88,2,25.4454,3,2892,2855,3
0,22,164,86,0,3,3413,1,70,31.98,1920.88,2,27.23,3,3314,2939,1
0,22,164,90,0,3,3204,2,78,33.46,1975.88,2,29.0147,3,3408,3023,2
0,22,164,94,0,0,2859,0,75,34.95,2030.88,2,30.7993,3,2437,3107,0
0,22,164,98,0,1,3383,1,62,36.44,2085.88,2,32.584,3,2868,3191,1
0,22,164,102,0,2,2887,2,95,37.92,2140.88,2,34.3686,3,3318,3276,4
0,22,170,50,0,3,2737,0,64,17.3,1455.9,2,9.6212,0,2511,2228,1
0,22,170,54,0,0,2913,1,82,18.69,1510.9,2,11.2821,1,1813,2312,1
0,22,170,58,0,1,2372,2,65,20.07,1565.9,2,12.943,1,2153,2396,2
0,22,170,62,0,2,3065,0,69,21.45,1620.9,2,14.6039,1,2512,2480,0
0,22,170,66,0,3,2862,1,61,22.84,1675.9,2,16.2648,1,2891,2564,1
0,22,170,70,0,0,2489,2,95,24.22,1730.9,2,17.9257,1,2077,2648,4
0,22,170,74,0,1,1940,0,69,25.61,1785.9,2,19.5866,2,2456,2732,0
0,22,170,78,0,2,3310,1,88,26.99,1840.9,2,21.2475,2,2853,2817,2
0,22,170,82,0,3,3696,2,77,28.37,1895.9,2,22.9084,2,3270,2901,2
0,22,170,86,0,0,3462,0,74,29.76,1950.9,2,24.5693,2,2341,2985,0
0,22,170,90,0,1,2701,1,64,31.14,2005.9,2,26.2302,3,2758,3069,1
0,22,170,94,0,2,3322,2,67,32.53,2060.9,2,27.8911,3,3194,3153,2
0,22,170,98,0,3,3686,0,66,33.91,2115.9,2,29.552,3,3650,3237,0
0,22,170,102,0,0,3786,1,60,35.29,2170.9,2,31.2129,3,2605,3321,0
0,22,176,50,0,1,2728,2,83,16.14,1485.92,2,8.2298,0,2043,2273,4
0,22,176,54,0,2,2102,0,94,17.43,1540.92,2,9.7794,0,2388,2358,1
0,22,176,58,0,3,2010,1,65,18.72,1595.92,2,11.329,1,2753,2442,1
0,22,176,62,0,0,2248,2,62,20.02,1650.92,2,12.8786,1,1981,2526,2
0,22,176,66,0,1,2453,0,62,21.31,1705.92,2,14.4282,1,2346,2610,0
0,22,176,70,0,2,1965,1,88,22.6,1760.92,2,15.9778,1,2729,2694,1
0,22,176,74,0,3,2412,2,78,23.89,1815.92,2,17.5274,1,3132,2778,2
0,22,176,78,0,0,3063,0,72,25.18,1870.92,2,19.0769,2,2245,2863,0
0,22,176,82,0,1,2122,1,88,26.47,1925.92,2,20.6265,2,2648,2947,2
0,22,176,86,0,2,2855,2,89,27.76,1980.92,2,22.1761,2,3070,3031,2
0,22,176,90,0,3,3863,0,82,29.05,2035.92,2,23.7257,2,3512,3115,3
0,22,176,94,0,0,3743,1,65,30.35,2090.92,2,25.2753,3,2509,3199,0
0,22,176,98,0,1,3677,2,77,31.64,2145.92,2,26.8249,3,2951,3283,2
0,22,176,102,0,2,2490,0,68,32.93,2200.92,2,28.3745,3,3411,3367,0
0,22,182,50,0,3,2040,1,85,15.09,1515.94,2,6.9738,0,2615,2319,1
0,22,182,54,0,0,2788,2,90,16.3,1570.94,2,8.4229,0,1885,2404,4
0,22,182,58,0,1,2115,0,81,17.51,1625.94,2,9.872,0,2236,2488,1
0,22,182,62,0,2,2970,1,73,18.72,1680.94,2,11.3211,1,2605,2572,1
0,22,182,66,0,3,2126,2,93,19.93,1735.94,2,12.7702,1,2994,2656,4
0,22,182,70,0,0,2384,0,87,21.13,1790.94,2,14.2193,1,2149,2740,0
0,22,182,74,0,1,3304,1,80,22.34,1845.94,2,15.6684,1,2538,2824,1
0,22,182,78,0,2,2092,2,92,23.55,1900.94,2,17.1175,1,2946,2908,4
0,22,182,82,0,3,3475,0,77,24.76,1955.94,2,18.5666,1,3374,2993,0
0,22,182,86,0,0,3107,1,69,25.96,2010.94,2,20.0157,2,2413,3077,1
0,22,182,90,0,1,3856,2,85,27.17,2065.94,2,21.4648,2,2841,3161,2
0,22,182,94,0,2,2564,0,74,28.38,2120.94,2,22.9139,2,3287,3245,0
0,22,182,98,0,3,4204,1,63,29.59,2175.94,2,24.363,2,3753,3329,1
0,22,182,102,0,3,3040,2,65,30.79,2230.94,2,25.8121,3,3848,3413,4
0,25,152,50,0,0,1873,0,71,21.64,1345.58,2,15.5195,1,1615,2059,0
0,25,152,54,0,1,1864,1,76,23.37,1400.58,2,17.5971,1,1926,2143,1
0,25,152,58,0,2,1985,2,73,25.1,1455.58,2,19.6747,2,2256,2227,1
0,25,152,62,0,3,2449,0,80,26.84,1510.58,2,21.7522,2,2606,2311,3
0,25,152,66,0,0,1725,1,67,28.57,1565.58,2,23.8298,2,1879,2395,1
0,25,152,70,0,1,2703,2,83,30.3,1620.58,2,25.9073,3,2228,2479,2
0,25,152,74,0,2,2052,0,89,32.03,1675.58,2,27.9849,3,2597,2564,3
0,25,152,78,0,3,2955,1,83,33.76,1730.58,2,30.0625,3,2985,2648,1
0,25,152,82,0,0,2869,2,85,35.49,1785.58,2,32.14,3,2143,2732,2
0,25,152,86,0,1,3605,0,93,37.22,1840.58,2,34.2176,3,2531,2816,3
0,25,152,90,0,2,2791,1,93,38.95,1895.58,2,36.2952,3,2938,2900,1
0,25,152,94,0,3,3230,2,83,40.69,1950.58,2,38.3727,3,3365,2984,2
0,25,152,98,0,0,2823,0,64,42.42,2005.58,2,40.4503,3,2407,3069,0
0,25,152,102,0,1,2459,1,79,44.15,2060.58,2,42.5278,3,2833,3153,1
0,25,158,50,0,2,2409,2,89,20.03,1375.6,2,13.5846,1,2132,2105,4
0,25,158,54,0,3,2246,0,69,21.63,1430.6,2,15.5074,1,2468,2189,0
0,25,158,58,0,0,2500,1,78,23.23,1485.6,2,17.4301,1,1783,2273,1
0,25,158,62,0,1,2263,2,69,24.84,1540.6,2,19.3529,1,2118,2357,2
0,25,158,66,0,2,2374,0,91,26.44,1595.6,2,21.2757,2,2473,2441,3
0,25,158,70,0,3,2449,1,93,28.04,1650.6,2,23.1985,2,2847,2525,2
0,25,158,74,0,0,3288,2,74,29.64,1705.6,2,25.1212,2,2047,2610,2
0,25,158,78,0,1,1913,0,82,31.24,1760.6,2,27.044,3,2421,2694,3
0,25,158,82,0,2,2392,1,91,32.85,1815.6,2,28.9668,3,2814,2778,1
0,25,158,86,0,3,2807,2,61,34.45,1870.6,2,30.8895,3,3227,2862,4
0,25,158,90,0,0,2534,0,92,36.05,1925.6,2,32.8123,3,2311,2946,3
0,25,158,94,0,1,3515,1,75,37.65,1980.6,2,34.7351,3,2723,3030,0
0,25,158,98,0,2,2366,2,64,39.26,2035.6,2,36.6578,3,3155,3114,4
0,25,158,102,0,3,2885,0,86,40.86,2090.6,2,38.5806,3,3606,3199,3
0,25,164,50,0,0,1634,1,94,18.59,1405.62,2,11.8581,1,1687,2151,1
0,25,164,54,0,1,2346,2,78,20.08,1460.62,2,13.6428,1,2008,2235,2
0,25,164,58,0,2,1832,0,70,21.56,1515.62,2,15.4275,1,2349,2319,0
0,25,164,62,0,3,1924,1,76,23.05,1570.62,2,17.2121,1,2709,2403,1
0,25,164,66,0,0,3134,2,93,24.54,1625.62,2,18.9968,1,1951,2487,4
0,25,164,70,0,1,3060,0,88,26.03,1680.62,2,20.7814,2,2311,2571,3
0,25,164,74,0,2,3390,1,68,27.51,1735.62,2,22.5661,2,2690,2655,1
0,25,164,78,0,3,2224,2,87,29.0,1790.62,2,24.3507,2,3089,2740,1
0,25,164,82,0,0,3530,0,80,30.49,1845.62,2,26.1354,3,2215,2824,5
0,25,164,86,0,1,2559,1,60,31.98,1900.62,2,27.92,3,2613,2908,1
0,25,164,90,0,2,2334,2,90,33.46,1955.62,2,29.7047,3,3031,2992,4
0,25,164,94,0,3,4439,0,83,34.95,2010.62,2,31.4893,3,3468,3076,3
0,25,164,98,0,0,3634,1,77,36.44,2065.62,2,33.274,3,2479,3160,0
0,25,164,102,0,1,2596,2,71,37.92,2120.62,2,35.0586,3,2916,3245,4
0,25,170,50,0,2,2626,0,78,17.3,1435.64,2,10.3112,0,2225,2197,1
0,25,170,54,0,3,2237,1,70,18.69,1490.64,2,11.9721,1,2571,2281,1
0,25,170,58,0,3,3413,2,86,20.07,1545.64,2,13.633,1,2666,2365,4
0,25,170,62,0,0,2229,0,88,21.45,1600.64,2,15.2939,1,1921,2449,0
0,25,170,66,0,1,2406,1,83,22.84,1655.64,2,16.9548,1,2276,2533,1
0,25,170,70,0,2,2386,2,91,24.22,1710.64,2,18.6157,1,2651,2617,4
0,25,170,74,0,3,3959,0,70,25.61,1765.64,2,20.2766,2,3046,2701,0
0,25,170,78,0,0,2646,1,82,26.99,1820.64,2,21.9375,2,2185,2786,2
0,25,170,82,0,1,3731,2,63,28.37,1875.64,2,23.5984,2,2579,2870,2
0,25,170,86,0,2,2095,0,65,29.76,1930.64,2,25.2593,2,2992,2954,0
0,25,170,90,0,3,3973,1,83,31.14,1985.64,2,26.9202,3,3425,3038,0
0,25,170,94,0,0,3684,2,95,32.53,2040.64,2,28.5811,3,2449,3122,2
0,25,170,98,0,1,3206,0,93,33.91,2095.64,2,30.242,3,2881,3206,3
0,25,170,102,0,2,4034,1,72,35.29,2150.64,2,31.9029,3,3333,3290,0
0,25,176,50,0,3,2882,2,76,16.14,1465.65,2,8.9198,0,2528,2242,2
0,25,176,54,0,0,1629,0,84,17.43,1520.65,2,10.4694,0,1825,2327,1
0,25,176,58,0,1,3134,1,76,18.72,1575.65,2,12.019,1,2167,2411,1
0,25,176,62,0,2,1870,2,86,20.02,1630.65,2,13.5686,1,2528,2495,4
0,25,176,66,0,3,2239,0,60,21.31,1685.65,2,15.1182,1,2908,2579,0
0,25,176,70,0,0,1944,1,80,22.6,1740.65,2,16.6678,1,2089,2663,1
0,25,176,74,0,1,3214,2,90,23.89,1795.65,2,18.2174,1,2469,2747,4
0,25,176,78,0,2,3471,0,66,25.18,1850.65,2,19.7669,2,2869,2831,0
0,25,176,82,0,3,2991,1,95,26.47,1905.65,2,21.3165,2,3287,2916,2
0,25,176,86,0,0,3300,2,66,27.76,1960.65,2,22.8661,2,2353,3000,2
0,25,176,90,0,1,2467,0,64,29.05,2015.65,2,24.4157,2,2772,3084,0
0,25,176,94,0,2,2407,1,82,30.35,2070.65,2,25.9653,3,3210,3168,1
0,25,176,98,0,3,4547,2,89,31.64,2125.65,2,27.5149,3,3667,3252,2
0,25,176,102,0,0,4337,0,90,32.93,2180.65,2,29.0645,3,2617,3336,3
0,25,182,50,0,1,1716,1,84,15.09,1495.67,2,7.6638,0,2057,2288,1
0,25,182,54,0,2,1779,2,65,16.3,1550.67,2,9.1129,0,2404,2373,2
0,25,182,58,0,3,2382,0,73,17.51,1605.67,2,10.562,0,2770,2457,1
0,25,182,62,0,0,1829,1,72,18.72,1660.67,2,12.0111,1,1993,2541,1
0,25,182,66,0,1,1837,2,66,19.93,1715.67,2,13.4602,1,2359,2625,2
0,25,182,70,0,2,3540,0,87,21.13,1770.67,2,14.9093,1,2745,2709,0
0,25,182,74,0,3,3685,1,89,22.34,1825.67,2,16.3584,1,3149,2793,1
0,25,182,78,0,0,3165,2,75,23.55,1880.67,2,17.8075,1,2257,2877,2
0,25,182,82,0,1,2665,0,82,24.76,1935.67,2,19.2566,1,2662,2962,0
0,25,182,86,0,2,3178,1,69,25.96,1990.67,2,20.7057,2,3086,3046,1
0,25,182,90,0,3,3952,2,91,27.17,2045.67,2,22.1548,2,3529,3130,2
0,25,182,94,0,0,2925,0,77,28.38,2100.67,2,23.6039,2,2521,3214,0
0,25,182,98,0,1,2408,1,67,29.59,2155.67,2,25.053,2,2964,3298,1
0,25,182,102,0,2,2810,2,93,30.79,2210.67,2,26.5021,3,3427,3382,4
0,25,152,50,0,3,2739,0,77,21.64,1345.58,2,15.5195,1,2321,2059,0
0,25,152,54,0,0,2036,1,75,23.37,1400.58,2,17.5971,1,1681,2143,1
0,25,152,58,0,1,2116,2,83,25.1,1455.58,2,19.6747,2,2001,2227,2
0,25,152,62,0,2,1897,0,87,26.84,1510.58,2,21.7522,2,2341,2311,3
0,25,152,66,0,3,2782,1,90,28.57,1565.58,2,23.8298,2,2701,2395,2
0,25,152,70,0,3,3550,2,86,30.3,1620.58,2,25.9073,3,2796,2479,2
0,25,152,74,0,0,2717,0,89,32.03,1675.58,2,27.9849,3,2011,2564,3
0,25,152,78,0,1,2515,1,81,33.76,1730.58,2,30.0625,3,2380,2648,1
0,25,152,82,0,2,3377,2,82,35.49,1785.58,2,32.14,3,2768,2732,2
0,25,152,86,0,3,3302,0,72,37.22,1840.58,2,34.2176,3,3175,2816,0
0,25,152,90,0,0,2987,1,70,38.95,1895.58,2,36.2952,3,2275,2900,1
0,25,152,94,0,1,2686,2,72,40.69,1950.58,2,38.3727,3,2682,2984,2
0,25,152,98,0,2,3699,0,91,42.42,2005.58,2,40.4503,3,3109,3069,3
0,25,152,102,0,3,3377,1,69,44.15,2060.58,2,42.5278,3,3555,3153,1
0,25,158,50,0,0,2020,2,63,20.03,1375.6,2,13.5846,1,1651,2105,2
0,25,158,54,0,1,1795,0,90,21.63,1430.6,2,15.5074,1,1967,2189,0
0,25,158,58,0,2,2602,1,94,23.23,1485.6,2,17.4301,1,2303,2273,1
0,25,158,62,0,3,2870,2,85,24.84,1540.6,2,19.3529,1,2658,2357,4
0,25,158,66,0,0,2588,0,86,26.44,1595.6,2,21.2757,2,1915,2441,3
0,25,158,70,0,1,3157,1,94,28.04,1650.6,2,23.1985,2,2270,2525,2
0,25,158,74,0,2,3384,2,60,29.64,1705.6,2,25.1212,2,2644,2610,2
0,25,158,78,0,3,2703,0,74,31.24,1760.6,2,27.044,3,3037,2694,0
0,25,158,82,0,0,2167,1,73,32.85,1815.6,2,28.9668,3,2179,2778,1
0,25,158,86,0,1,2719,2,78,34.45,1870.6,2,30.8895,3,2572,2862,2
0,25,158,90,0,2,2418,0,92,36.05,1925.6,2,32.8123,3,2985,2946,3
0,25,158,94,0,3,2733,1,68,37.65,1980.6,2,34.7351,3,3417,3030,1
0,25,158,98,0,0,3644,2,86,39.26,2035.6,2,36.6578,3,2443,3114,2
0,25,158,102,0,1,3135,0,61,40.86,2090.6,2,38.5806,3,2875,3199,0
0,25,164,50,0,2,2614,1,92,18.59,1405.62,2,11.8581,1,2179,2151,1
0,25,164,54,0,3,1940,2,76,20.08,1460.62,2,13.6428,1,2520,2235,2
0,25,164,58,0,0,1994,0,95,21.56,1515.62,2,15.4275,1,1819,2319,0
0,25,164,62,0,1,3052,1,62,23.05,1570.62,2,17.2121,1,2160,2403,1
0,25,164,66,0,2,2696,2,63,24.54,1625.62,2,18.9968,1,2520,2487,2
0,25,164,70,0,3,3334,0,86,26.03,1680.62,2,20.7814,2,2899,2571,3
0,25,164,74,0,0,3213,1,70,27.51,1735.62,2,22.5661,2,2083,2655,1
0,25,164,78,0,1,1973,2,95,29.0,1790.62,2,24.3507,2,2462,2740,1
0,25,164,82,0,2,2403,0,80,30.49,1845.62,2,26.1354,3,2861,2824,3
0,25,164,86,0,3,3115,1,86,31.98,1900.62,2,27.92,3,3279,2908,1
0,25,164,90,0,0,3231,2,71,33.46,1955.62,2,29.7047,3,2347,2992,2
0,25,164,94,0,1,3045,0,84,34.95,2010.62,2,31.4893,3,2765,3076,3
0,25,164,98,0,2,4098,1,60,36.44,2065.62,2,33.274,3,3202,3160,0
0,25,164,102,0,3,4426,2,93,37.92,2120.62,2,35.0586,3,3658,3245,2
0,25,170,50,0,0,1845,0,73,17.3,1435.64,2,10.3112,0,1723,2197,1
0,25,170,54,0,1,2440,1,62,18.69,1490.64,2,11.9721,1,2050,2281,1
0,25,170,58,0,2,2971,2,80,20.07,1545.64,2,13.633,1,2396,2365,4
0,25,170,62,0,3,2954,0,85,21.45,1600.64,2,15.2939,1,2761,2449,0
0,25,170,66,0,0,2482,1,63,22.84,1655.64,2,16.9548,1,1987,2533,1
0,25,170,70,0,1,2696,2,62,24.22,1710.64,2,18.6157,1,2352,2617,2
0,25,170,74,0,2,3284,0,63,25.61,1765.64,2,20.2766,2,2737,2701,0
0,25,170,78,0,3,2701,1,71,26.99,1820.64,2,21.9375,2,3141,2786,1
0,25,170,82,0,3,3268,2,82,28.37,1875.64,2,23.5984,2,3235,2870,2
